# omega0=1, alpha=2
# theta0=0.1, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
2.316297631384046e+01 2.114263643425671e-10 -2.026731860288472e-10
2.325416913397369e+01 1.937274524443637e-10 -1.857371864499364e-10
2.334536195410692e+01 1.775076396424573e-10 -1.702137918110210e-10
2.343655477424015e+01 1.626435454239413e-10 -1.559854171181687e-10
2.352774759437338e+01 1.490220604684742e-10 -1.429442434423132e-10
2.361894041450661e+01 1.365394934775451e-10 -1.309914087746016e-10
2.371013323463984e+01 1.251007886997334e-10 -1.200362657404962e-10
2.380132605477307e+01 1.146188083096474e-10 -1.099957006647636e-10
2.389251887490630e+01 1.050136742795944e-10 -1.007935089317010e-10
2.398371169503953e+01 9.621216482486799e-11 -9.235982200017317e-11
2.407490451517276e+01 8.814716090908424e-11 -8.463058181428984e-11
2.416609733530600e+01 8.075713866821355e-11 -7.754705870059679e-11
2.425729015543923e+01 7.398570395357819e-11 -7.105540916403448e-11
2.434848297557246e+01 6.778116550761685e-11 -6.510627028997468e-11
2.443967579570569e+01 6.209614357395996e-11 -5.965438773052170e-11
2.453086861583892e+01 5.688721100742699e-11 -5.465827450193638e-11
2.462206143597215e+01 5.211456419189085e-11 -5.007989804832058e-11
2.471325425610538e+01 4.774172129633586e-11 -4.588439323625284e-11
2.480444707623861e+01 4.373524560350395e-11 -4.203979913742251e-11
2.489563989637184e+01 4.006449183277921e-11 -3.851681763287532e-11
2.498683271650507e+01 3.670137355078680e-11 -3.528859203455041e-11
2.507802553663830e+01 3.362014992084312e-11 -3.233050406854222e-11
2.516921835677153e+01 3.079723018705623e-11 -2.961998770105061e-11
2.526041117690476e+01 2.821099442160491e-11 -2.713635841328986e-11
2.535160399703799e+01 2.584162918550469e-11 -2.486065664663066e-11
2.544279681717122e+01 2.367097686489807e-11 -2.277550424479317e-11
2.553398963730445e+01 2.168239754741266e-11 -2.086497281676939e-11
2.562518245743768e+01 1.986064239717229e-11 -1.911446303304059e-11
2.571637527757091e+01 1.819173757332110e-11 -1.751059394922519e-11
2.580756809770414e+01 1.666287781606662e-11 -1.604110152614415e-11
2.589876091783737e+01 1.526232889685384e-11 -1.469474558397633e-11
2.598995373797060e+01 1.397933819588615e-11 -1.346122449120118e-11
2.608114655810383e+01 1.280405273130562e-11 -1.233109694685619e-11
