# omega0=1, alpha=0.2
# theta0=-0.81, theta_dot0=0.1234
# t_start=0, t_end=100, h=0.0116355
#   t          x(t)                 v(t)       
1.314814703169050e+01 -1.211279569470009e+01 -4.734558100880951e-01
1.326450231515678e+01 -1.216603759243705e+01 -4.417108435014823e-01
1.338085759862307e+01 -1.221559811128548e+01 -4.102660241284820e-01
1.349721288208936e+01 -1.226154304297815e+01 -3.796513430976825e-01
1.361356816555565e+01 -1.230399934744906e+01 -3.503857367790872e-01
1.372992344902193e+01 -1.234315302752197e+01 -3.229628956231940e-01
1.384627873248822e+01 -1.237924543930236e+01 -2.978386172311869e-01
1.396263401595451e+01 -1.241256823288136e+01 -2.754199386798620e-01
1.407898929942080e+01 -1.244345713820235e+01 -2.560561649398967e-01
1.419534458288708e+01 -1.247228481889502e+01 -2.400318178189710e-01
1.431169986635337e+01 -1.249945301566800e+01 -2.275614645272425e-01
1.442805514981966e+01 -1.252538419350149e+01 -2.187863441773440e-01
1.454441043328594e+01 -1.255051289599155e+01 -2.137726895852808e-01
1.466076571675223e+01 -1.257527699776088e+01 -2.125116351680255e-01
1.477712100021852e+01 -1.260010903322896e+01 -2.149206043244464e-01
1.489347628368481e+01 -1.262542776802819e+01 -2.208460769990696e-01
1.500983156715109e+01 -1.265163016829507e+01 -2.300676466055049e-01
1.512618685061738e+01 -1.267908391292175e+01 -2.423032822863066e-01
1.524254213408367e+01 -1.270812058428568e+01 -2.572157152144211e-01
1.535889741754996e+01 -1.273902966338292e+01 -2.744198641433229e-01
1.547525270101624e+01 -1.277205344483316e+01 -2.934912037422832e-01
1.559160798448253e+01 -1.280738297485618e+01 -3.139749578747535e-01
1.570796326794882e+01 -1.284515509985913e+01 -3.353959681830269e-01
1.582431855141511e+01 -1.288545069353120e+01 -3.572690467855580e-01
1.594067383488139e+01 -1.292829410530850e+01 -3.791095730966891e-01
1.605702911834769e+01 -1.297365384215558e+01 -4.004440434205770e-01
1.617338440181399e+01 -1.302144445888629e+01 -4.208202347842824e-01
1.628973968528030e+01 -1.307152959066807e+01 -4.398166096355623e-01
1.640609496874660e+01 -1.312372601685440e+01 -4.570505740338409e-01
1.652245025221291e+01 -1.317780860073914e+01 -4.721852161154224e-01
1.663880553567921e+01 -1.323351590879772e+01 -4.849341984232674e-01
1.675516081914552e+01 -1.329055627933693e+01 -4.950645575152630e-01
1.687151610261182e+01 -1.334861408784685e+01 -5.023972726004310e-01
1.698787138607813e+01 -1.340735594755944e+01 -5.068055926330944e-01
1.710422666954443e+01 -1.346643659030875e+01 -5.082112456553320e-01
1.722058195301074e+01 -1.352550419471117e+01 -5.065787810042229e-01
1.733693723647704e+01 -1.358420496426483e+01 -5.019084008615822e-01
1.745329251994335e+01 -1.364218680411829e+01 -4.942277120718978e-01
1.756964780340966e+01 -1.369910199793530e+01 -4.835828663125158e-01
1.768600308687596e+01 -1.375460884105648e+01 -4.700295559320803e-01
1.780235837034227e+01 -1.380837223882418e+01 -4.536242983625381e-01
1.791871365380857e+01 -1.386006332601847e+01 -4.344163820271222e-01
1.803506893727488e+01 -1.390935820245842e+01 -4.124407713582696e-01
1.815142422074118e+01 -1.395593590979761e+01 -3.877121886317103e-01
1.826777950420749e+01 -1.399947579543315e+01 -3.602205155759999e-01
1.838413478767379e+01 -1.403965442233176e+01 -3.299275959414555e-01
1.850049007114010e+01 -1.407614219030041e+01 -2.967654768161053e-01
1.861684535460640e+01 -1.410859983713114e+01 -2.606361044747063e-01
1.873320063807271e+01 -1.413667498969015e+01 -2.214124908970637e-01
1.884955592153901e+01 -1.415999893797963e+01 -1.789413891610578e-01
1.896591120500532e+01 -1.417818381190709e+01 -1.330475579020936e-01
1.908226648847162e+01 -1.419082035311828e+01 -8.353975416557494e-02
1.919862177193793e+01 -1.419747649456757e+01 -3.021866636127561e-02
1.931497705540423e+01 -1.419769698974509e+01 2.711292104746524e-02
1.943133233887054e+01 -1.419100437205770e+01 8.863736083384487e-02
1.954768762233684e+01 -1.417690157187256e+01 1.545063405565342e-01
1.966404290580315e+01 -1.415487657122905e+01 2.248215842584785e-01
1.978039818926945e+01 -1.412440952810461e+01 2.996116417928537e-01
1.989675347273576e+01 -1.408498284265323e+01 3.788045098057993e-01
2.001310875620206e+01 -1.403609464993784e+01 4.621961680880959e-01
2.012946403966837e+01 -1.397727618228898e+01 5.494157075310229e-01
2.024581932313467e+01 -1.390811331579342e+01 6.398886437265338e-01
2.036217460660098e+01 -1.382827235869421e+01 7.328012969068725e-01
2.047852989006728e+01 -1.373752971260722e+01 8.270707420085341e-01
2.059488517353359e+01 -1.363580440968219e+01 9.213266180961791e-01
2.071124045699989e+01 -1.352319170135818e+01 1.013912648775868e+00
2.082759574046620e+01 -1.339999490763268e+01 1.102916431103046e+00
2.094395102393250e+01 -1.326675177624884e+01 1.186235076082711e+00
2.106030630739881e+01 -1.312425089257660e+01 1.261680834772881e+00
2.117666159086511e+01 -1.297353353875521e+01 1.327124559556089e+00
2.129301687433142e+01 -1.281587713302030e+01 1.380666296243546e+00
2.140937215779772e+01 -1.265275815792190e+01 1.420813293786573e+00
2.152572744126403e+01 -1.248579520263946e+01 1.446639118828213e+00
2.164208272473033e+01 -1.231667594019552e+01 1.457896363454531e+00
2.175843800819664e+01 -1.214707478815561e+01 1.455061338738103e+00
2.187479329166294e+01 -1.197856985261108e+01 1.439301385998943e+00
2.199114857512925e+01 -1.181256796632735e+01 1.412370665852296e+00
2.210750385859555e+01 -1.165024512304993e+01 1.376453839565396e+00
2.222385914206186e+01 -1.149250682250787e+01 1.333984980829831e+00
2.234021442552816e+01 -1.133996955156010e+01 1.287469717960328e+00
2.245656970899447e+01 -1.119296164359931e+01 1.239333051613461e+00
2.257292499246077e+01 -1.105153965128927e+01 1.191806321657574e+00
2.268928027592708e+01 -1.091551535032035e+01 1.146857509446675e+00
2.280563555939338e+01 -1.078448845837510e+01 1.106161706277191e+00
2.292199084285969e+01 -1.065788081093360e+01 1.071104113770363e+00
2.303834612632599e+01 -1.053496874712553e+01 1.042806229831329e+00
2.315470140979230e+01 -1.041491154439628e+01 1.022166164932271e+00
2.327105669325860e+01 -1.029677471983744e+01 1.009905428594415e+00
2.338741197672491e+01 -1.017954780651059e+01 1.006616265731039e+00
2.350376726019121e+01 -1.006215680717511e+01 1.012805193992722e+00
2.362012254365752e+01 -9.943471963411817e+00 1.028929515529231e+00
2.373647782712382e+01 -9.822311815395322e+00 1.055424135304510e+00
2.385283311059013e+01 -9.697444833662427e+00 1.092715998013237e+00
2.396918839405643e+01 -9.567590244575603e+00 1.141222897341468e+00
2.408554367752274e+01 -9.431420103776848e+00 1.201332404204105e+00
2.420189896098904e+01 -9.287565239973947e+00 1.273355379556892e+00
2.431825424445535e+01 -9.134628408774503e+00 1.357447331082899e+00
2.443460952792165e+01 -8.971208819409604e+00 1.453490408979753e+00
2.455096481138796e+01 -8.795942977325360e+00 1.560930286121539e+00
2.466732009485427e+01 -8.607567200533401e+00 1.678567354904158e+00
2.478367537832057e+01 -8.405006647906239e+00 1.804312965599020e+00
2.490003066178688e+01 -8.187493398948176e+00 1.934940973688145e+00
2.501638594525318e+01 -7.954711054829176e+00 2.065892597304849e+00
2.513274122871949e+01 -7.706954792357998e+00 2.191222846265804e+00
2.524909651218579e+01 -7.445284265549019e+00 2.303794739203616e+00
2.536545179565210e+01 -7.171634962979726e+00 2.395809529309916e+00
2.548180707911840e+01 -6.888847165390065e+00 2.459685177570794e+00
2.559816236258471e+01 -6.600577500471023e+00 2.489163287472898e+00
2.571451764605101e+01 -6.311080514322952e+00 2.480383843452186e+00
2.583087292951732e+01 -6.024882968418780e+00 2.432601707733185e+00
2.594722821298362e+01 -5.746408482376989e+00 2.348296717124886e+00
2.606358349644993e+01 -5.479627855623808e+00 2.232635807858507e+00
2.617993877991623e+01 -5.227801442288308e+00 2.092475242168638e+00
2.629629406338254e+01 -4.993349133585806e+00 1.935220606790871e+00
2.641264934684884e+01 -4.777846354344295e+00 1.767841772138814e+00
2.652900463031515e+01 -4.582116594686657e+00 1.596214564757087e+00
